match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,True,1,4f28f39s38b38s2d#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,True,1,4b19f18f29f19f28b28f18f38b1w#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,True,1,4f17f39m37b-38b18*,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,4,0,0,0,0,30-15,1,True,1,6f2n#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,True,1,6b39m29f38f38b37b38b29f29f28b3n@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,6,0,0,0,0,40-30,1,True,1,6*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,7,0,0,1,0,0-0,2,True,2,5f1x#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,8,0,0,1,0,15-0,2,True,2,5f28f28f28f19r37f+19l3w#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,9,0,0,1,0,30-0,2,True,2,5b28f+39s1n#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,10,0,0,1,0,40-0,2,True,2,5b28f29f17f28b39b28b18f19f18f19f18*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,11,0,0,1,0,40-15,2,True,2,4f27f28f39s27f39*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,12,0,0,1,0,40-30,2,True,2,6f38f28b38b39b19f38b37b28b28b3w@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,13,0,0,1,0,40-40,2,True,2,6b28b28b37m27f-17*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,14,0,0,1,0,40-AD,2,True,2,4d,5b38b29b;3w@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,15,0,0,1,0,40-40,2,True,2,6d,6b2d@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,16,0,0,1,0,AD-40,2,True,2,4b38b29b2d@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,17,0,0,1,1,0-0,3,True,1,4d,6b28f!3x@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,18,0,0,1,1,0-15,3,True,1,5b29b3w@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,19,0,0,1,1,0-30,3,True,1,4f18f17r1x#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,20,0,0,1,1,15-30,3,True,1,6f28b39b29b37b29b19f29f38b38b39b19r18u17r-1d#,,,2
