match_id,pt,set1,set2,gm1,gm2,pts,svr,served,shot_idx,striker,is_serve,serve_zone,letter,side,dir,depth,ending,err,pt_winner
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,0,1,True,4,,serve,,,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,1,2,False,,f,fh,2,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,2,1,False,,f,fh,3,9,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,3,2,False,,s,bh,3,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,4,1,False,,b,bh,3,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,1,0,0,0,0,0-0,1,1st,5,2,False,,s,bh,2,?,#,d,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,0,1,True,4,,serve,,,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,1,2,False,,b,bh,1,9,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,2,1,False,,f,fh,1,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,3,2,False,,f,fh,2,9,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,4,1,False,,f,fh,1,9,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,5,2,False,,f,fh,2,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,6,1,False,,b,bh,2,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,7,2,False,,f,fh,1,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,8,1,False,,f,fh,3,8,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,2,0,0,0,0,15-0,1,1st,9,2,False,,b,bh,1,?,#,w,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,0,1,True,4,,serve,,,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,1,2,False,,f,fh,1,7,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,2,1,False,,f,fh,3,9,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,3,2,False,,m,bh,3,7,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,4,1,False,,b,bh,3,8,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,3,0,0,0,0,30-0,1,1st,5,2,False,,b,bh,1,8,*,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,4,0,0,0,0,30-15,1,1st,0,1,True,6,,serve,,,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,4,0,0,0,0,30-15,1,1st,1,2,False,,f,fh,2,?,#,n,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,0,1,True,6,,serve,,,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,1,2,False,,b,bh,3,9,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,2,1,False,,m,bh,2,9,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,3,2,False,,f,fh,3,8,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,4,1,False,,f,fh,3,8,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,5,2,False,,b,bh,3,7,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,6,1,False,,b,bh,3,8,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,7,2,False,,b,bh,2,9,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,8,1,False,,f,fh,2,9,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,9,2,False,,f,fh,2,8,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,5,0,0,0,0,40-15,1,1st,10,1,False,,b,bh,3,?,@,n,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,6,0,0,0,0,40-30,1,1st,0,1,True,6,,serve,,,*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,7,0,0,1,0,0-0,2,1st,0,2,True,5,,serve,,,,,2
