clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
g1_point_01,ocr-auto; mcp_pt 1,1,1,4f28f39s38b38s2d#,,1,matched,0-0,0-0
g1_point_02,ocr-auto; mcp_pt 2,2,1,4b19f18f29f19f28b28f18f38b1w#,,1,matched,0-0,15-0
g1_point_03,ocr-auto; mcp_pt 3,3,1,4f17f39m37b-38b18*,,2,matched,0-0,30-0
g1_point_04,ocr-auto; mcp_pt 4,4,1,6f2n#,,1,matched,0-0,30-15
g1_point_05,ocr-auto; mcp_pt 5,5,1,6b39m29f38f38b37b38b29f29f28b3n@,,2,matched,0-0,40-15
g1_point_06,ocr-auto; mcp_pt 6,6,1,6*,,1,matched,0-0,40-30
g1_point_08,ocr-auto; mcp_pt 8,8,2,5f28f28f28f19r37f+19l3w#,,2,matched,1-0,15-0
g1_point_09,ocr-auto; mcp_pt 9,9,2,5b28f+39s1n#,,2,matched,1-0,30-0
g1_point_10,ocr-auto; mcp_pt 10,10,2,5b28f29f17f28b39b28b18f19f18f19f18*,,1,matched,1-0,40-0
g1_point_11,ocr-auto; mcp_pt 11,11,2,4f27f28f39s27f39*,,1,matched,1-0,40-15
g1_point_12,ocr-auto; mcp_pt 12,12,2,6f38f28b38b39b19f38b37b28b28b3w@,,1,matched,1-0,40-30
g1_point_13,ocr-auto; mcp_pt 13; order-resolved,13,2,6b28b28b37m27f-17*,,1,matched,1-0,40-40
g1_point_14,ocr-auto; mcp_pt 14,14,2,4d,5b38b29b;3w@,2,matched,1-0,40-AD
g1_point_15,ocr-auto; mcp_pt 15; order-resolved,15,2,6d,6b2d@,2,matched,1-0,40-40
g1_point_16,ocr-auto; mcp_pt 16,16,2,4b38b29b2d@,,2,matched,1-0,AD-40
g1_point_18,ocr-auto; mcp_pt 18,18,1,5b29b3w@,,2,matched,1-1,0-15
g1_point_19,ocr-auto; mcp_pt 19,19,1,4f18f17r1x#,,1,matched,1-1,0-30
g1_point_20,ocr-auto; mcp_pt 20,20,1,6f28b39b29b37b29b19f29f38b38b39b19r18u17r-1d#,,2,matched,1-1,15-30
g1_point_21,ocr-auto; mcp_pt 21,21,1,4n,6b29f3d@,2,matched,1-1,15-40
g1_point_22,ocr-auto; mcp_pt 22,22,2,5f29b28f38s28f+38*,,1,matched,1-2,0-0
g1_point_23,ocr-auto; mcp_pt 23,23,2,6f28f19f29f28b29b29f19f1d#,,1,matched,1-2,0-15
g1_point_24,ocr-auto; mcp_pt 24,24,2,6x,5b38b39b38b1w@,1,matched,1-2,0-30
g1_point_25,ocr-auto; mcp_pt 25,25,2,6d,4b19*,1,matched,1-2,0-40
g1_point_27,ocr-auto; mcp_pt 27,27,1,5n,4b38b19*,1,matched,2-2,15-0
g1_point_28,ocr-auto; mcp_pt 28,28,1,5r37s39b19f18f1n@,,1,matched,2-2,30-0
g1_point_29,ocr-auto; mcp_pt 29,29,1,6r27f+3d@,,2,matched,2-2,40-0
g1_point_30,ocr-auto; mcp_pt 30,30,1,c6b28f29b39b38b37b38b19f28f3d@,,1,matched,2-2,40-15
g1_point_31,ocr-auto; mcp_pt 31,31,2,6b28f29f29f19f28f+39m3p27r-18l2d#,,1,matched,3-2,0-0
g1_point_32,ocr-auto; mcp_pt 32,32,2,5d;,5f28f+19*,2,matched,3-2,0-15
g1_point_33,ocr-auto; mcp_pt 33,33,2,4f29b28r39b38b38b1x@,,1,matched,3-2,15-15
g1_point_34,ocr-auto; mcp_pt 34,34,2,4w,4b38b29b39b28f37b29b19f37b38b38b38b38b27f38b1d#,2,matched,3-2,15-30
g1_point_36,ocr-auto; mcp_pt 36,36,2,4w,5d,1,matched,3-2,30-40
g1_point_37,ocr-auto; mcp_pt 37,37,1,4f29f37b38b18*,,1,matched,4-2,0-0
g1_point_38,ocr-auto; mcp_pt 38,38,1,4x,4b38b18r1w#,1,matched,4-2,15-0
g1_point_39,ocr-auto; mcp_pt 39,39,1,5n,6b2d@,1,matched,4-2,30-0
g1_point_40,ocr-auto; mcp_pt 40,40,1,5f37b+28f19*,,2,matched,4-2,40-0
