match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,72,0,1,0,0,30-15,13,True,1,4n,4+b18v^1*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,73,0,1,0,0,40-15,13,True,1,6n,4f1w@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,74,0,1,1,0,0-0,14,True,2,6*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,75,0,1,1,0,15-0,14,True,2,4w,5b38b2f+3s1v3b1v1*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,76,0,1,1,0,15-15,14,True,2,6s28f3b1d#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,77,0,1,1,0,30-15,14,True,2,6f28f3w@,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,78,0,1,1,0,30-30,14,True,2,5d,4f2n@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,79,0,1,1,0,40-30,14,True,2,4b37b+1l3o3m1o1*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,80,0,1,1,1,0-0,15,True,1,4f28f3b2b2b1*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,81,0,1,1,1,0-15,15,True,1,4b3w#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,82,0,1,1,1,15-15,15,True,1,6b29f1f2b2b2d@,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,83,0,1,1,1,30-15,15,True,1,6*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,84,0,1,1,1,40-15,15,True,1,6*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,85,0,1,2,1,0-0,16,True,2,4x,5b38b3b+1l1o1*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,86,0,1,2,1,0-15,16,True,2,4d,6f29f3b2b3b3b3b2b1f1f2b2b2f3b3d#,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,87,0,1,2,1,0-30,16,True,2,6n,6b38b3b3b3b2f1f1f1f1f1*,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,88,0,1,2,1,15-30,16,True,2,4w,5f28b2f1f1f3d@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,89,0,1,2,1,30-30,16,True,2,6*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,90,0,1,2,1,40-30,16,True,2,4d,4b38b3w@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,91,0,1,2,1,40-40,16,True,2,6*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,92,0,1,2,1,AD-40,16,True,2,6r28f;3m2o3*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,93,0,1,2,2,0-0,17,True,1,4f2d#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,94,0,1,2,2,15-0,17,True,1,6f2d#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,95,0,1,2,2,30-0,17,True,1,4+f28v2b1*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,96,0,1,2,2,30-15,17,True,1,6*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,97,0,1,2,2,40-15,17,True,1,4+f18v3n@,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,98,0,1,2,2,40-30,17,True,1,4*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,99,0,1,3,2,0-0,18,True,2,6n,4f28f2s2f2f1f1d@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,100,0,1,3,2,0-15,18,True,2,6r3x#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,101,0,1,3,2,15-15,18,True,2,4f27u1*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,102,0,1,3,2,30-15,18,True,2,4*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,103,0,1,3,2,40-15,18,True,2,4w,6b38b3b1f1f3s1w#,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,104,0,1,3,2,40-30,18,True,2,4b18*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,105,0,1,3,2,40-40,18,True,2,4f1d#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,106,0,1,3,2,AD-40,18,True,2,6f2d#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,107,0,1,3,3,0-0,19,True,1,6s29f1f2f1f;2s3b2f3w@,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,108,0,1,3,3,0-15,19,True,1,4*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,109,0,1,3,3,15-15,19,True,1,6n,4+f1w@,Failed Sinner challenge,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,110,0,1,3,3,30-15,19,True,1,4d,6f28f1*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,111,0,1,3,3,40-15,19,True,1,6+f#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,112,0,1,4,3,0-0,20,True,2,c5b28f1f2f3*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,113,0,1,4,3,15-0,20,True,2,6r28f1f2f1n@,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,114,0,1,4,3,15-15,20,True,2,6s29f1f1f3b3b2f1n@,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,115,0,1,4,3,30-15,20,True,2,4s28f3*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,116,0,1,4,3,40-15,20,True,2,6d,5b29f3b3b2f1w@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,117,0,1,4,4,0-0,21,True,1,4f28b3b2n#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,118,0,1,4,4,15-0,21,True,1,6*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,119,0,1,4,4,30-0,21,True,1,4w,6s2d#,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,120,0,1,4,4,40-0,21,True,1,6d,4b37b3*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,121,0,1,5,4,0-0,22,True,2,6n,5b2d@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,122,0,1,5,4,15-0,22,True,2,4*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,123,0,1,5,4,30-0,22,True,2,4*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,124,0,1,5,4,40-0,22,True,2,6f2d#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,125,0,1,5,5,0-0,23,True,1,4+f28z3*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,126,0,1,5,5,15-0,23,True,1,6n,5f29b3b1w@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,127,0,1,5,5,30-0,23,True,1,4*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,128,0,1,5,5,40-0,23,True,1,4x,5b29b2n#,Successful Sinner challenge,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,129,0,1,5,5,40-15,23,True,1,6d,cc4f28b1f2f2f1w@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,130,0,1,6,5,0-0,24,True,2,4f3n#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,131,0,1,6,5,15-0,24,True,2,5b28f3w@,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,132,0,1,6,5,15-15,24,True,2,4w,6w,Failed Sinner challenge on second serve,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,133,0,1,6,5,15-30,24,True,2,6f38f1f2f1f1f2f1f1f2f2f1f2f3d@,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,134,0,1,6,5,30-30,24,True,2,4f2n#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,135,0,1,6,5,40-30,24,True,2,4w,5b37b3b1f1f1f2b2y1r3b3z1*,Successful Sinner challenge on first serve,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,136,0,1,6,5,40-40,24,True,2,4f3n#,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,137,0,1,6,5,AD-40,24,True,2,4b28f2f3b2b1f2f1n@,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,138,0,1,6,6,0-0,25,True,1,6n,4+f37i2n#,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,139,0,1,6,6,1-0,25,True,2,4w,6f3w#,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,140,0,1,6,6,2-0,25,True,2,6b29f2f3b3b2f2f1f2b2f1w@,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,141,0,1,6,6,1-2,25,True,1,4b37b-3b#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,142,0,1,6,6,2-2,25,True,1,4d,4+f27h3w@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,143,0,1,6,6,3-2,25,True,2,4w,4b38b3s3f3b3b2s3b3b3b1f1f1f3b2b3b3b1f1f1f3n#,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,144,0,1,6,6,3-3,25,True,2,6n,5b18f3b3b3b2b2b2b2n@,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,145,0,1,6,6,4-3,25,True,1,4d,5f38s2n#,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,146,0,1,6,6,4-4,25,True,1,c6b27f1*,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,147,0,1,6,6,4-5,25,True,2,6f39b2f3b2f3b2f2f1d@,,Failed Sinner challenge,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,148,0,1,6,6,4-6,25,True,2,6w,5b28b3b2b2f3b2b2f2b2b2b2b2b1f1f1r3b2n@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,149,0,1,6,6,6-5,25,True,1,c4b2n#,,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,150,1,1,0,0,0-0,26,True,2,5d,5b29f3b3b2f3b3b3b2f1*,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,151,1,1,0,0,0-15,26,True,2,4d,5b2d@,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,152,1,1,0,0,15-15,26,True,2,6d,4d,,1
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,153,1,1,0,0,15-30,26,True,2,5b37b2s3f2b2b3b2f2f1f3b2b3b2b1r1w#,,Failed Djokovic challenge,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,154,1,1,0,0,30-30,26,True,2,4*,,,2
20231114-M-Tour_Finals-RR-Novak_Djokovic-Jannik_Sinner,155,1,1,0,0,40-30,26,True,2,4*,,,2
