match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,1,0,0,0,0,0-0,1,True,1,4d,6b28f28b39b29b28b38b28b2d@,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,2,0,0,0,0,0-15,1,True,1,6r29f18f19f17f19f38s39b38b3w@,,,1
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,3,0,0,0,0,15-15,1,True,1,6b29b28f29f2d@,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,4,0,0,0,0,15-30,1,True,1,6d,4b37b29f29f29b28f+38b3nz3d#,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,5,0,0,0,0,15-40,1,True,1,6n,5f39b28b29b19f17f18f18*,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,6,0,0,0,1,0-0,2,True,2,6s1x#,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,7,0,0,0,1,15-0,2,True,2,6f3w#,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,8,0,0,0,1,30-0,2,True,2,6b19f17*,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,9,0,0,0,1,40-0,2,True,2,6f2d#,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,10,0,0,0,2,0-0,3,True,1,4f28f38s29f37s28f+18r2v38m3z=17r18f38s29b28f38s29f18*,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,11,0,0,0,2,0-15,3,True,1,6f29f3w#,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,12,0,0,0,2,0-30,3,True,1,5b1n#,,,1
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,13,0,0,0,2,15-30,3,True,1,4b37b39*,,,1
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,14,0,0,0,2,30-30,3,True,1,c6n,4f29b28f38b39b28f+18l2n#,,1
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,15,0,0,0,2,40-30,3,True,1,6r38f39s39f27b38b38b38b1d@,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,16,0,0,0,2,40-40,3,True,1,6b28b2d@,,,2
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,17,0,0,0,2,40-AD,3,True,1,6r18f18f27y17*,,,1
20240713-W-Wimbledon-F-Jasmine_Paolini-Barbora_Krejcikova,18,0,0,0,2,40-40,3,True,1,4r28f+39m1v17*,,,1
