match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,1,0,0,0,0,0-0,1,True,1,5b18f1f3b2f1*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,2,0,0,0,0,0-15,1,True,1,4s28f2d@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,3,0,0,0,0,0-30,1,True,1,4f1n#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,4,0,0,0,0,15-30,1,True,1,6*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,5,0,0,0,0,30-30,1,True,1,4r3w#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,6,0,0,0,0,40-30,1,True,1,6f#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,7,0,0,1,0,0-0,2,True,2,c4d,5b19f3b1f1f1f2n#,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,8,0,0,1,0,0-15,2,True,2,c5b28s3s3n@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,9,0,0,1,0,15-15,2,True,2,6*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,10,0,0,1,0,30-15,2,True,2,5b2d#,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,11,0,0,1,0,40-15,2,True,2,5s3d#,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,12,0,0,1,1,0-0,3,True,1,4*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,13,0,0,1,1,15-0,3,True,1,4s27r-3b-3z#,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,14,0,0,1,1,15-15,3,True,1,4n,4f18f1f2b2s3b3b3b3b3b3n@,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,15,0,0,1,1,15-30,3,True,1,6r38b1r1f1w@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,16,0,0,1,1,15-40,3,True,1,6w,4f29b2n#,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,17,0,0,1,2,0-0,4,True,2,5b29f3s2u3n@,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,18,0,0,1,2,0-15,4,True,2,5b37b3b3b2f1f3n#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,19,0,0,1,2,0-30,4,True,2,4*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,20,0,0,1,2,15-30,4,True,2,5b28f3b3n@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,21,0,0,1,2,30-30,4,True,2,5b29b2b1f1r3d#,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,22,0,0,1,2,40-30,4,True,2,6f18f1f1*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,23,0,0,1,2,40-40,4,True,2,4f19f2b3b3s2f3d@,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,24,0,0,1,2,40-AD,4,True,2,5d,5b29b2d#,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,25,0,0,2,2,0-0,5,True,1,4f28b3b3b+1f2o3*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,26,0,0,2,2,15-0,5,True,1,4w,4b39b1d#,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,27,0,0,2,2,15-15,5,True,1,5s28f1*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,28,0,0,2,2,30-15,5,True,1,6n,5n,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,29,0,0,2,2,30-30,5,True,1,5b27f+3b2o1*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,30,0,0,2,2,40-30,5,True,1,5b29f2b3b2f3w@,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,31,0,0,3,2,0-0,6,True,2,5d,5b28b2f+3s1v1*,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,32,0,0,3,2,0-15,6,True,2,6*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,33,0,0,3,2,15-15,6,True,2,4f19f3n#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,34,0,0,3,2,15-30,6,True,2,5b27b2s2f1f1f2f+3s2f-1*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,35,0,0,3,2,15-40,6,True,2,4d,5b28b2b2b;2b2f1d@,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,36,0,0,4,2,0-0,7,True,1,4d,5f19f3b3s2r3b1r2y+1f2v3*,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,37,0,0,4,2,15-0,7,True,1,4n,6r28u3@,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,38,0,0,4,2,15-15,7,True,1,6s2d#,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,39,0,0,4,2,30-15,7,True,1,6w,4b38b2d@,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,40,0,0,4,2,30-30,7,True,1,4f18f3*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,41,0,0,4,2,40-30,7,True,1,5b37b1x@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,42,0,0,4,2,40-40,7,True,1,4n,5b28b3s2f3b3b+3b1v^1f-1n#,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,43,0,0,4,2,AD-40,7,True,1,4d,4b37b1n#,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,44,0,0,4,2,40-40,7,True,1,5b28b3s2f+1f3o-3*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,45,0,0,4,2,AD-40,7,True,1,6*,,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,46,0,0,5,2,0-0,8,True,2,5d,5r18f1f1f3b3*,,1
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,47,0,0,5,2,0-15,8,True,2,5b28b3s3n@,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,48,0,0,5,2,15-15,8,True,2,4*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,49,0,0,5,2,30-15,8,True,2,c4b2n#,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,50,0,0,5,2,40-15,8,True,2,5b;27f-1*,,,2
20240907-W-US_Open-F-Aryna_Sabalenka-Jessica_Pegula,51,0,0,5,3,0-0,9,True,1,4r19f1n@,,,2
