match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,1,0,0,0,0,0-0,1,True,1,6*,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,2,0,0,0,0,15-0,1,True,1,6f1w#,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,3,0,0,0,0,30-0,1,True,1,4f2n#,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,4,0,0,0,0,40-0,1,True,1,4b37b1f2n#,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,5,0,0,1,0,0-0,2,True,2,5b29b1f1f1f;1f1f2b3b3b3b1w@,,,2
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,6,0,0,1,0,15-0,2,True,2,4x,5b37b2b1f1f1f1f1f1f3b1f1d@,,2
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,7,0,0,1,0,30-0,2,True,2,4f18f2b2b1f2f2b1*,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,8,0,0,1,0,30-15,2,True,2,4*,,,2
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,9,0,0,1,0,40-15,2,True,2,c6s19f;3b3b3b3b1f1d#,,,2
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,10,0,0,1,1,0-0,3,True,1,5b3w#,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,11,0,0,1,1,15-0,3,True,1,4s2n#,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,12,0,0,1,1,30-0,3,True,1,6x,5b29b3b2b3b3b2b2b2b2b1f3b3s3f2f1f2b3b3b3b3b2f1f3x#,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,13,0,0,1,1,40-0,3,True,1,4b37f-1*,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,14,0,0,2,1,0-0,4,True,2,6d,5b29f3w#,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,15,0,0,2,1,0-15,4,True,2,5f29f1n@,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,16,0,0,2,1,0-30,4,True,2,6s27k-3*,,,2
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,17,0,0,2,1,15-30,4,True,2,6f28f3b3y+3b-1*,,,1
20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev,18,0,0,2,1,15-40,4,True,2,4f3x#,,,2
