clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t2_point_01,bug Haase-top; transcribed Federer-first,7,2,6s28s1f3b2f1f1f3b+3s1h1f-3*,,1,matched,1-0,0-30
t2_point_02,,12|14,2,,,,ambiguous,,
t2_point_03,,19,1,4f29f3n#,,2,matched,2-0,15-40
t2_point_04,,20,2,4d,5b29f1f2f+3b3*,1,matched,2-1,0-0
t2_point_05,,27,2,4n,4s28f3s2f3n@,1,matched,2-1,40-AD
t2_point_06,,47,1,4b29f3b1f1f1f+3*,,1,matched,5-3,0-15
t2_point_07,,64,2,4b2d#,,2,matched,1-1,30-15
t2_point_08,,96,2,4n,4b37b3s2n#,2,matched,4-4,40-0
t2_point_09,,98,1,6+f28v^3b-3z2*,,1,matched,4-5,15-0
t2_point_10,,106,2,4n,4+s37z1f3z2f+1v2v3*,1,matched,5-5,40-30
t2_point_11,tiebreak; match point,128,2,6r38f1f2f3s1f1f2f1x@,,1,matched,6-6,5-6
