clip,set1,set2,gm1,gm2,pts,server_bug,note
t4_point_01,0,0,0,0,15-40,1,bug Krejcikova-top; transcribed Paolini-first (v2 segments: src seg1)
t4_point_02,0,0,0,2,0-0,1,src 2a
t4_point_03,0,0,0,2,0-30,1,src 3a
t4_point_04,0,0,0,2,15-30,1,src 3b; NEW — split out of old seg 3 (two points in one segment)
t4_point_05,0,0,0,2,30-30,1,src 4
t4_point_06,0,0,0,2,40-AD,1,src 5a; deuce cycle A
t4_point_07,0,0,0,2,40-40,1,src 6
t4_point_08,0,0,0,2,40-AD,1,src 7b; deuce cycle B
t4_point_09,0,0,0,2,40-40,1,src 8
t4_point_10,0,0,0,2,AD-40,1,src 9
t4_point_11,0,0,1,2,15-40,2,src 10
t4_point_12,0,0,1,2,40-40,2,src 11
t4_point_13,0,0,1,4,0-0,2,src 12b
t4_point_14,0,0,1,5,15-0,1,src 13
t4_point_15,0,0,1,5,40-30,1,src 14
t4_point_16,0,0,2,5,0-40,2,src 15
t4_point_17,0,1,0,0,40-30,1,set 2 (Krejcikova won set 1); src 16
t4_point_18,0,1,1,0,0-0,2,src 17
t4_point_19,0,1,1,0,15-0,2,src 18a
t4_point_20,0,1,1,0,30-15,2,src 19
t4_point_21,0,1,1,0,40-15,2,src 20
t4_point_22,0,1,2,0,30-15,1,src 21
t4_point_23,0,1,2,0,40-40,1,src 22+23 merged: old dup transcriptions were one point
t4_point_24,0,1,2,0,AD-40,1,src 24
t4_point_25,0,1,3,0,30-15,2,src 25
t4_point_26,0,1,3,1,15-15,1,src 26a
t4_point_27,0,1,3,1,40-15,1,src 26b; NEW — split out of old seg 26
t4_point_28,0,1,4,1,15-40,2,src 27
t4_point_29,0,1,4,2,0-0,1,src 28
t4_point_30,0,1,4,2,40-0,1,src 29
t4_point_31,0,1,4,2,40-15,1,src 30; server mark visible (Paolini)
t4_point_32,0,1,5,2,40-15,2,src 31; recovered — old transcription called this a no-bug crowd shot; SET POINT banner
t4_point_33,1,1,0,0,0-0,1,set 3 (Paolini won set 2); src 32
t4_point_34,1,1,0,0,40-0,1,src 33
t4_point_35,1,1,2,1,0-30,2,src 34
t4_point_36,1,1,3,2,0-0,2,src 35a
t4_point_37,1,1,3,2,0-30,2,src 36a
t4_point_38,1,1,3,3,0-30,1,src 37
t4_point_39,1,1,3,3,30-40,1,src 38a
t4_point_40,1,1,3,3,40-40,1,src 39
t4_point_41,1,1,3,5,30-0,1,src 40a
t4_point_42,1,1,4,5,0-15,2,src 41a
t4_point_43,1,1,4,5,15-30,2,src 42a
t4_point_44,1,1,4,5,40-30,2,src 43a
t4_point_45,1,1,4,5,40-40,2,src 44; 1st deuce
t4_point_46,1,1,4,5,40-40,2,src 45; 2nd deuce — distinct plateau from 45
t4_point_47,1,1,4,5,AD-40,2,src 46a
t4_point_48,1,1,4,5,40-40,2,src 47a; recovered — old transcription called this a no-bug crowd shot; 3rd DEUCE banner
t4_point_49,1,1,4,5,40-AD,2,src 48; 2nd championship point banner
