idx,f0,f1,t0,t1,n,setA,setB,gmA,gmB,ptsA,ptsB,server
0,264,402,8.8,13.4,24,,,,,15,AD,2
1,504,534,16.8,17.8,6,,,,,,,2
2,618,642,20.6,21.4,5,,,,,AD,,2
3,672,708,22.4,23.6,7,,,,,AD,40,2
4,720,744,24.0,24.8,5,,,,,,,2
5,1038,1080,34.6,36.0,8,,,,,,AD,2
6,2772,2808,92.4,93.6,7,,,,,,15,2
7,3684,3708,122.8,123.6,5,,,,,,,2
8,3714,4020,123.8,134.0,52,,,,,,,2
9,4026,4056,134.2,135.2,6,,,,,,,2
10,5262,5304,175.4,176.8,8,,,,,,,2
11,5310,5592,177.0,186.4,48,,,,,,,2
12,13842,13992,461.4,466.4,26,,,,,0,40,2
13,14202,14280,473.4,476.0,14,,,,,,,2
14,15288,15312,509.6,510.4,5,,,,,AD,,2
15,15930,16020,531.0,534.0,16,,,,,0,0,1
16,16044,16134,534.8,537.8,16,,,,,0,0,2
17,20256,20280,675.2,676.0,5,,,,,AD,,2
18,21402,21450,713.4,715.0,9,,,0,0,15,0,1
19,21480,21516,716.0,717.2,7,,,0,0,15,0,2
20,21522,21558,717.4,718.6,7,,,0,0,15,0,2
21,21564,22320,718.8,744.0,127,,,0,0,15,0,1
22,22458,23406,748.6,780.2,159,,,0,0,30,0,1
23,23454,23484,781.8,782.8,6,,,,,30,,1
24,23844,23934,794.8,797.8,16,,,0,0,30,15,1
25,23976,24228,799.2,807.6,43,,,0,0,30,15,1
26,24570,24666,819.0,822.2,17,,,0,,0,15,1
27,24750,24954,825.0,831.8,35,,,0,0,40,15,1
28,25002,25386,833.4,846.2,65,,,0,0,40,15,1
29,25392,25440,846.4,848.0,9,,,0,0,40,15,1
30,25548,25680,851.6,856.0,23,,,0,0,40,30,1
31,25710,26358,857.0,878.6,109,,,0,0,40,30,1
32,28632,28908,954.4,963.6,47,,,1,0,0,15,2
33,28932,28956,964.4,965.2,5,,,1,0,0,15,2
34,28962,29286,965.4,976.2,55,,,1,0,0,15,2
35,29292,29322,976.4,977.4,6,,,1,0,0,15,2
36,29610,29646,987.0,988.2,7,,,1,0,0,30,2
37,29664,29808,988.8,993.6,25,,,1,0,0,30,2
38,29844,29868,994.8,995.6,5,,,1,0,0,30,2
39,30048,30120,1001.6,1004.0,13,,,1,,0,30,2
40,30162,30414,1005.4,1013.8,43,,,1,0,0,30,2
41,30420,30444,1014.0,1014.8,5,,,1,0,0,30,2
42,30648,30852,1021.6,1028.4,35,,,1,0,0,40,2
43,30858,31014,1028.6,1033.8,27,,,1,,0,0,2
44,31020,31542,1034.0,1051.4,88,,,1,0,0,40,2
45,31548,31590,1051.6,1053.0,8,,,1,0,0,40,2
46,32046,32220,1068.2,1074.0,30,,,1,0,15,40,2
47,32286,32328,1076.2,1077.6,8,,,1,,15,40,2
48,32334,32664,1077.8,1088.8,56,,,1,0,15,40,2
49,32778,32808,1092.6,1093.6,6,,,1,0,30,40,2
50,33072,33102,1102.4,1103.4,6,,,1,0,30,40,2
51,33132,33180,1104.4,1106.0,9,,,1,0,30,40,2
52,33252,33276,1108.4,1109.2,5,,,1,0,30,40,2
53,33282,33348,1109.4,1111.6,12,,,1,,30,40,2
54,33378,33582,1112.6,1119.4,35,,,1,0,30,40,2
55,33612,33942,1120.4,1131.4,56,,,1,0,30,40,2
56,33954,34002,1131.8,1133.4,9,,,1,,30,0,2
57,34038,34092,1134.6,1136.4,10,,,1,0,30,40,2
58,34146,34176,1138.2,1139.2,6,,,1,0,30,40,2
59,34182,34266,1139.4,1142.2,15,,,1,0,30,40,2
60,34332,34374,1144.4,1145.8,8,,,1,0,40,40,2
61,34398,34452,1146.6,1148.4,10,,,1,0,40,40,2
62,34476,34518,1149.2,1150.6,8,,,1,0,40,40,2
63,34524,34560,1150.8,1152.0,7,,,1,0,40,40,2
64,34572,34710,1152.4,1157.0,24,,,1,0,40,40,2
65,34866,34890,1162.2,1163.0,5,,,1,,40,AD,2
66,34914,34968,1163.8,1165.6,10,,,1,,40,AD,2
67,34974,35172,1165.8,1172.4,34,,,1,0,40,40,2
68,35232,35322,1174.4,1177.4,16,,,1,0,40,40,2
69,35388,35412,1179.6,1180.4,5,,,1,0,AD,,2
70,35808,35868,1193.6,1195.6,11,,,1,0,AD,,2
71,35922,36108,1197.4,1203.6,32,,,1,0,AD,,2
72,36240,36456,1208.0,1215.2,37,,,1,0,AD,,2
73,36468,36516,1215.6,1217.2,9,,,1,0,AD,,2
74,36528,36570,1217.6,1219.0,8,,,1,0,40,40,2
